track,artist,genre,bpm,length
senorita,shawn mendes,pop,117,191
china,anuel aa,reggaeton,105,302
boyfriend,ariana grande,pop,190,186
beautiful people,ed sheeran,pop,93,198
goodbyes,post malone,rap,150,175
i don't care,ed sheeran,pop,102,220
ransom,lil tecca,rap,180,131
how do you sleep,sam smith,pop,111,202
old town road,lil nas x,rap,136,157
bad guy,billie eilish,pop,135,194
callaita,bad bunny,reggaeton,176,251
loco contigo,dj snake,pop,96,185
someone you loved,lewis capaldi,pop,110,182
otro trago,sech,pop,176,288
money in the grave,drake,hip hop,101,205
no guidance,chris brown,pop,93,261
la cancion,j balvin,latin,176,243
sunflower,post malone,rap,90,158
lalala,y2k,hip hop,130,161
truth hurts,lizzo,pop,158,173
piece of your heart,meduza,pop,124,153
panini,lil nas x,rap,154,115
no me conoce,jhay cortez,reggaeton,92,309
soltera,lunay,latin,92,266
bad guy,billie eilish,pop,135,195
if i can't have you,shawn mendes,pop,124,191
dance monkey,tones and i,pop,98,210
it's you,ali gatie,hip hop,96,213
con calma,daddy yankee,latin,94,193
que pretendes,j balvin,latin,93,222
takeaway,the chainsmokers,edm,85,210
7 rings,ariana grande,pop,140,179
11pm,maluma,reggaeton,96,176
the london,young thug,hip hop,98,200
never really over,katy perry,dance pop,100,224
summer days,martin garrix,house,114,164
otro trago,sech,pop,176,226
antisocial,ed sheeran,pop,152,162
sucker,jonas brothers,pop,138,181
"fuck i'm lonely ",lauv,pop,95,199
higher love,kygo,edm,104,228
you need to calm down,taylor swift,pop,85,171
shallow,lady gaga,pop,96,216
talk,khalid,pop,136,198
con altura,rosalia,r&b,98,162
one thing right,marshmello,edm,88,182
te robare,nicky jam,latin,176,202
happier,marshmello,edm,100,214
call you mine,the chainsmokers,edm,104,218
cross me,ed sheeran,pop,95,206